100,,,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,,,DD2: Member Complaints and Changes in the Drug Plan�s Performance,,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
Contract Name,Organization Marketing Name,Parent Organization,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Improving or Maintaining Physical Health,C05: Improving or Maintaining Mental Health,C06: Monitoring Physical Activity,C07: Adult BMI Assessment,C08: Special Needs Plan (SNP) Care Management,C09: Care for Older Adults � Medication Review,C10: Care for Older Adults � Functional Status Assessment,C11: Care for Older Adults � Pain Assessment,C12: Osteoporosis Management in Women who had a Fracture,C13: DiabetesCare � Eye Exam,C14: DiabetesCare � Kidney Disease Monitoring,C15: DiabetesCare � Blood Sugar Controlled,C16: Controlling Blood Pressure,C17: Rheumatoid Arthritis Management,C18: Reducing the Risk of Falling,C19: Plan All-Cause Readmissions,C20: Getting Needed Care,C21: Getting Appointments and Care Quickly,C22: Customer Service,C23: Rating of Health Care Quality,C24: Rating of Health Plan,C25: Care Coordination,C26: Complaints about the Health Plan,C27: Members Choosing to Leave the Plan,C28: Beneficiary Access and Performance Problems,C29: Health Plan Quality Improvement,C30: Plan Makes Timely Decisions about Appeals,C31: Reviewing Appeals Decisions,C32: Call Center � Foreign Language Interpreter and TTY Availability,D01: Call Center � Foreign Language Interpreter and TTY Availability,D02: Appeals Auto�Forward,D03: Appeals Upheld,D04: Complaints about the Drug Plan,D05: Members Choosing to Leave the Plan,D06: Beneficiary Access and Performance Problems,D07: Drug Plan Quality Improvement,D08: Rating of Drug Plan,D09: Getting Needed Prescription Drugs,D10: MPF Price Accuracy,D11: High Risk Medication,D12: Medication Adherence for DiabetesMedications,D13: MedicatHypertension for Hypertension (RAS antagonists),D14: Medication Adherence for Cholesterol (Statins),D15: MTM Program Completion Rate for CMR
"UNITEDHEALTHCARE OF OKLAHOMA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0.64,0.6,0.7,0.68,0.81,0.46,0.96,0,0,0,0,0.52,0.62,0.9,0.69,0.69,0.82,0.57,0.1,0.85,0.77,0.89,0.87,0.82,0.85,0.19,0.15,1,0,0.97,0.97,0.96,0.98,1.3,0,0.19,0.15,1,0,0.83,0.92,0.98,0.08,0.75,0.76,0.74,0.38
"COMMUNITY CARE HMO, INC",CommunityCare Senior Health Plan (HMO),"CommunityCare Managed Healthcare Plans of OK, Inc.",0.76,0.7,0.81,0.64,0.78,0.43,0.94,0,0,0,0,0.32,0.72,0.94,0.86,0.76,0.85,0.54,0.09,0.85,0.79,0.94,0.85,0.89,0.84,0.02,0.02,0.8,0,1,0.9,0.85,0.9,0.8,0.5,0.02,0.02,0.8,0,0.86,0.93,0.99,0.11,0.77,0.79,0.75,0.43
HEARTLANDPLAINS HEALTH,HeartlandPlains Health,Catholic Health Initiatives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.96,0.98,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"UNITEDHEALTHCARE OF OREGON, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0.73,0.72,0.81,0.68,0.76,0.49,0.95,0,0,0,0,0.44,0.75,0.95,0.86,0.71,0.85,0.6,0.09,0.82,0.81,0.87,0.86,0.84,0.87,0.17,0.1,1,0,1,1,0.96,0.98,0,0,0.17,0.1,1,0,0.83,0.9,0.99,0.06,0.8,0.81,0.8,0.37
"ALLCARE HEALTH PLAN, INC.",AllCare Advantage,"MidRogue AllCare Health Assurance, Inc.",0.65,0.64,0.68,0.69,0.77,0.5,0.92,0,0,0,0,0.19,0.72,0.88,0.79,0.72,0.78,0.55,0.11,0.82,0.8,0.92,0.86,0.88,0.85,0.04,0.02,1,0,0.95,0.95,0.94,0.87,0,0,0.04,0.02,1,0,0.85,0.93,0.98,0.09,0.81,0.83,0.8,0.19
"SAMARITAN HEALTH PLANS, INC.",Samaritan Advantage Health Plan,Samaritan Health Services,0.67,0.61,0.76,0.66,0.8,0.54,0.91,-1,0.9,0.45,0.69,0.13,0.71,0.87,0.85,0.62,0.8,0.61,0.09,0.82,0.78,0.87,0.85,0.85,0.84,0.05,0.05,1,0,1,1,0.8,0.74,2.1,0,0.05,0.05,1,0,0.84,0.91,0.98,0.14,0.81,0.82,0.82,0.11
"MODA HEALTH PLAN, INC.","Moda Health Plan, Inc.","Moda, Inc.",0.83,0.64,0.8,0.69,0.81,0.55,0.78,0,0,0,0,0.18,0.81,0.9,0.71,0.44,0.92,0.51,0.07,0.84,0.79,0.9,0.87,0.87,0.86,0.13,0.02,0.6,0,0.59,0.82,0.86,0.91,31.6,0,0.13,0.02,0.6,0,0.86,0.92,0.99,0.11,0.86,0.87,0.84,0.02
ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Health Plans,0.58,0.56,0.62,0.6,0.79,0.47,0.93,0.38,0.92,0.84,0.91,0,0.66,0.88,0.77,0.68,0,0.74,0.09,0.82,0.76,0.88,0.85,0.86,0.85,0.04,0.02,1,0,0.87,0.91,0.64,0.61,0,0,0.04,0.02,1,0,0.84,0.9,0.99,0.12,0.78,0.76,0.78,0.17
ALIGNMENT HEALTH PLAN,Alignment Health Plan,"Alignment Healthcare USA, LLC",0.8,0.68,0.76,0.66,0.76,0.5,0.96,0,0,0,0,0.55,0.79,0.95,0.75,0.61,0.6,0.6,0.09,0.8,0.73,0.88,0.85,0.87,0.81,0.19,0.21,0.8,0,0.97,0.76,0.88,0.87,-1,-1,0.19,0.21,0.8,0,0.86,0.88,0.97,0.07,0.67,0.7,0.64,0.77
REGENCE BLUECROSS BLUESHIELD OF OREGON,Regence BlueCross BlueShield of Oregon,"Cambia Health Solutions, Inc.",0.79,0.74,0.77,0.67,0.79,0.57,0.93,0,0,0,0,0.31,0.77,0.91,0.78,0.72,0.87,0.6,0.09,0.87,0.77,0.9,0.86,0.85,0.86,0.02,0.02,0.6,0,0.95,0.89,0.94,0.95,9,0.69,0.02,0.02,0.6,0,0.83,0.91,0.99,0.08,0.81,0.84,0.82,0.4
"FAMILYCARE HEALTH PLANS, INC.","FamilyCare Health Plans, Inc.",FamilyCare Incorporated,0.64,0.53,0.66,0.69,0.79,0.42,0.89,0.49,0.69,0.28,0.64,0,0.67,0.93,0.74,0.71,0,0.57,0.1,0,0.78,0.9,0.84,0.84,0.86,0.1,0.07,0.8,0,0,0,0.93,0.91,0,0,0.1,0.07,0.8,0,0.83,0.9,0.99,0.06,0.77,0.77,0.78,0.22
HEALTH CARE SERVICE CORPORATION,"Blue Cross Blue Shield of IL, MT, NM",Health Care Service Corporation,0.82,0.68,0.81,0,0,0.51,0.93,-1,0,0,0,0.39,0.61,0.94,0.7,0.67,0.81,0.48,0.11,0.78,0.76,0.8,0.85,0.8,0.85,0.91,0.12,1,0,0.82,0.77,0.95,0.98,26.1,0.5,0.91,0.12,1,0,0.83,0.89,0.99,0.05,0.78,0.81,0.76,0.32
HAWAII MEDICAL SERVICE ASSOCIATION,Akamai Advantage by HMSA,Hawaii Medical Service Association,0.83,0.73,0.81,0.65,0.8,0.53,0.88,0,0,0,0,0.25,0.81,0.91,0.8,0.63,0.76,0.59,0.08,0.87,0.8,0.89,0.86,0.85,0.85,0.05,0,1,0,0,0,0.72,0.78,0,0,0.05,0,1,0,0.82,0.9,0.99,0.04,0.81,0.82,0.79,0.18
PACIFICSOURCE COMMUNITY HEALTH PLANS,PacificSource Medicare,PacificSource Health Plans,0.74,0.64,0.76,0.72,0.78,0.49,0.88,0,0,0,0,0.29,0.7,0.91,0.77,0.73,0.79,0.57,0.08,0.83,0.79,0.93,0.84,0.82,0.86,0.15,0.11,0.8,0,0.97,0.95,0.67,0.64,-1,-1,0.15,0.11,0.8,0,0.78,0.91,0.98,0.05,0.78,0.82,0.81,0.29
"HOPKINS HEALTH ADVANTAGE, INC.",Johns Hopkins,Johns Hopkins Healthcare LLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UPMC HEALTH PLAN, INC.",UPMC Health Plan,UPMC Health System,0.73,0.6,0.75,0.63,0.8,0.44,0.99,0.78,0,0,0,0.33,0.8,0.93,0.86,0.77,0.8,0.54,0.1,0.87,0.8,0.92,0.88,0.87,0.88,0.1,0.03,0.6,0,0.95,0.96,0.94,0.97,2.6,0.74,0.1,0.03,0.6,0,0.84,0.93,0.98,0.07,0.82,0.84,0.79,0.02
QCC INSURANCE COMPANY,Personal Choice 65 PPO,"Independence Health Group, Inc.",0.74,0.72,0.82,0.66,0.81,0.57,0.87,0,0,0,0,0.23,0.78,0.92,0.8,0.81,0.75,0.68,0.09,0.85,0.78,0.83,0.89,0.85,0.88,0.15,0.05,0.6,0,1,0.6,0.94,0.96,7.7,0,0.15,0.05,0.6,0,0.8,0.89,0.99,0.1,0.83,0.83,0.8,0.42
HIGHMARK SENIOR HEALTH COMPANY,Highmark Senior Health Company,Highmark Health,0.75,0.74,0.77,0.71,0.78,0.48,0.92,0,0,0,0,0.21,0.71,0.94,0.83,0.82,0.83,0.62,0.1,0.86,0.78,0.91,0.86,0.85,0.86,0.05,0.11,1,0,0.99,0.92,0.95,0.91,2.6,0.77,0.05,0.11,1,0,0.85,0.92,0.98,0.08,0.82,0.84,0.8,0.29
CAPITAL ADVANTAGE INSURANCE COMPANY,Capital Advantage Insurance Company,Capital BlueCross,0.7,0.65,0.77,0.67,0.76,0.5,0.85,0,0,0,0,0.13,0.75,0.9,0.74,0.63,0.82,0.57,0.1,0.84,0.79,0.89,0.86,0.82,0.87,0.16,0.14,0,0,1,0.81,0.96,0.96,-1,-1,0.16,0.14,0,0,0.8,0.9,0.99,0.1,0.84,0.85,0.81,0.27
GEISINGER INDEMNITY INSURANCE COMPANY,Geisinger Gold,Geisinger Health System,0.73,0.68,0.8,0.67,0.79,0.44,0.88,0,0,0,0,0.63,0.76,0.9,0.79,0.61,0.83,0.56,0.1,0.85,0.8,0.89,0.87,0.85,0.88,0.18,0.01,0.6,0,1,0.78,0.95,0.93,0,0.3,0.18,0.01,0.6,0,0.83,0.93,0.98,0.03,0.83,0.85,0.81,0.44
"AETNA HEALTH, INC.",Coventry Health Care,Aetna Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.99,0.98,0,0,0,0,1,0,0,0,0.98,0.11,0.78,0.73,0.68,0
"AETNA HEALTH, INC, (PA)",Aetna Medicare,Aetna Inc.,0.7,0.7,0.81,0.63,0.83,0.48,0.96,0,0,0,0,0.4,0.73,0.9,0.8,0.84,0.82,0.6,0.1,0.86,0.78,0.88,0.87,0.84,0.87,0.14,0.11,0.4,0,0.94,0.9,0.99,0.98,1.6,0,0.14,0.11,0.4,0,0.81,0.88,0.99,0.08,0.79,0.82,0.77,0.41
CIGNA HEALTH AND LIFE INSURANCE COMPANY,Cigna-HealthSpring,CIGNA,0,0,0.47,0,0,0,0,0,0,0,0,0,0.39,0,0.54,0.54,0,0,0,0,0.7,0.82,0.81,0.78,0.81,1.71,0.21,1,0,0,0,0.89,0.92,0,0,1.71,0.21,1,0,0.81,0.86,0.98,0.04,0.69,0.7,0.65,0.5
"BRAVO HEALTH PENNSYLVANIA, INC.",Cigna-HealthSpring,CIGNA,0.74,0.72,0.67,0.69,0.81,0.49,0.94,0.62,0.82,0.69,0.8,0.66,0.73,0.95,0.78,0.68,0.73,0.71,0.13,0.82,0.71,0.87,0.84,0.81,0.84,0.21,0.22,0.8,0,0.95,0.96,0.97,0.93,0.5,0,0.21,0.22,0.8,0,0.81,0.89,0.99,0.03,0.73,0.75,0.7,0.29
"KEYSTONE HEALTH PLAN EAST, INC.",Keystone 65 HMO,"Independence Health Group, Inc.",0.75,0.7,0.78,0.7,0.8,0.51,0.88,0,0,0,0,0.17,0.8,0.95,0.85,0.85,0.74,0.68,0.09,0.86,0.8,0.86,0.87,0.85,0.87,0.09,0.06,0.6,0,0.95,0.85,0.94,0.96,4,0.63,0.09,0.06,0.6,0,0.84,0.92,0.99,0.08,0.8,0.83,0.78,0.45
GEISINGER HEALTH PLAN,Geisinger Gold,Geisinger Health System,0.8,0.72,0.77,0.67,0.8,0.44,0.97,0.69,0.92,0.9,0.96,0.67,0.76,0.92,0.86,0.78,0.83,0.62,0.1,0.84,0.78,0.91,0.88,0.87,0.87,0.15,0.04,0.6,0,0.98,0.89,0.95,0.95,0,0.31,0.15,0.04,0.6,0,0.85,0.93,0.98,0.04,0.82,0.83,0.79,0.41
"KEYSTONE HEALTH PLAN WEST, INC.",Highmark Choice Company,Highmark Health,0.71,0.77,0.79,0.67,0.79,0.46,0.97,0,0,0,0,0.19,0.78,0.93,0.84,0.83,0.79,0.64,0.1,0.87,0.79,0.91,0.86,0.86,0.87,0.03,0.06,1,0,0.99,0.91,0.95,0.91,1.3,0.65,0.03,0.06,1,0,0.85,0.92,0.98,0.08,0.81,0.83,0.79,0.29
"HEALTHAMERICA PENNSYLVANIA, INC.",HealthAmerica,Aetna Inc.,0.73,0.69,0.77,0.68,0.85,0.42,0.99,0.67,1,0.9,0.95,0.43,0.75,0.94,0.84,0.87,0.79,0.53,0.09,0.84,0.75,0.87,0.88,0.83,0.86,0.11,0.1,0.6,0,0.95,0.92,0.99,0.98,0.4,0,0.11,0.1,0.6,0,0.82,0.92,0.98,0.07,0.79,0.81,0.78,0.3
"KEYSTONE HEALTH PLAN CENTRAL, INC.","Keystone Health Plan Central, Inc.",Capital BlueCross,0.72,0.67,0.81,0.67,0.74,0.44,0.93,0,0,0,0,0.12,0.75,0.93,0.75,0.67,0.76,0.64,0.1,0.86,0.79,0.9,0.86,0.87,0.88,0.04,0.03,0,0,0.92,0.85,0.96,0.96,12.2,0.8,0.04,0.03,0,0,0.86,0.92,0.99,0.1,0.84,0.85,0.81,0.28
"GHS HEALTH MAINTENANCE ORGANIZATION, INC.",Blue Cross Blue Shield of OK,Health Care Service Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0.63,0.58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.95,0.98,0,0,0,0,1,0,0,0,0.98,0.09,0.84,0.8,0.74,0.26
"MMM HEALTHCARE, LLC.",Medicare y Mucho M�s,InnovaCare Inc.,0.85,0.82,0.48,0.71,0.78,0.52,0.96,0.68,0.97,0.97,0.96,0.4,0.76,0.96,0.76,0.66,0.72,0.78,0.07,0.88,0.71,0.92,0.9,0.93,0.81,0.14,0.2,1,0,0.99,0.91,0.87,0.8,1.1,0.92,0.14,0.2,1,0,0.92,0.92,0.99,0.11,0.69,0.72,0.56,0.13
"PMC MEDICARE CHOICE, LLC",PMC Medicare Choice,InnovaCare Inc.,0.86,0.82,0.41,0.67,0.77,0.51,0.97,0.53,0.96,0.95,0.96,0.42,0.75,0.96,0.74,0.69,0.77,0.73,0.09,0.84,0.72,0.9,0.89,0.94,0.8,0.06,0.18,1,0,1,0.95,0.88,0.82,0.9,0,0.06,0.18,1,0,0.94,0.9,0.99,0.13,0.74,0.75,0.58,0.29
"TRIPLE-S ADVANTAGE, INC.",Triple-S Advantage,Triple-S Management Corporation,0.74,0.65,0.47,0.67,0.83,0.61,0.73,0,0,0,0,0.21,0.64,0.91,0.62,0.41,0.64,0.67,0.09,0.84,0.63,0.89,0.86,0.85,0.76,0.28,0.06,0.8,0,0.83,0.92,0.87,0.92,0,0,0.28,0.06,0.8,0,0.85,0.9,0.98,0.09,0.66,0.75,0.52,0.26
"HUMANA HEALTH PLANS OF PUERTO RICO, INC.","HUMANA HEALTH PLANS OF PUERTO RICO, INC.",Humana Inc.,0.81,0.72,0.46,0.65,0.82,0.54,0.96,0.63,0.92,0.8,0.84,0.23,0.68,0.94,0.79,0.7,0.57,0.66,0.08,0.83,0.73,0.87,0.9,0.95,0.81,0.22,0.2,0.6,0,0.97,0.89,0.92,0.98,0.2,0,0.22,0.2,0.6,0,0.93,0.9,0.98,0.04,0.71,0.72,0.56,0.23
"MMM HEALTHCARE, LLC.",First +Plus,InnovaCare Inc.,0.72,0.63,0.41,0.69,0.76,0.59,0.78,0,0,0,0,0.22,0.51,0.82,0.69,0.27,0.58,0.66,0.08,0.82,0.67,0.87,0.88,0.85,0.77,0.25,0.05,0.8,0,1,0.79,0.89,0.78,0.6,0,0.25,0.05,0.8,0,0.85,0.87,0.98,0.07,0.62,0.69,0.42,0.5
"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,Anthem Inc.,0.71,0.69,0.77,0.69,0.8,0.52,0.95,0,0,0,0,0,0.67,0.94,0.83,0.8,0.87,0.56,0.09,0.83,0.79,0,0.86,0.8,0.88,0.28,0.06,1,0,0,0,0.99,0.98,7.5,0,0.28,0.06,1,0,0.81,0.88,0.99,0.06,0.77,0.85,0.82,0.21
"HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC.","Humana Employers Health Plan of Georgia, Inc.",Humana Inc.,0.69,0.66,0.69,0.68,0.79,0.53,0.93,0.69,0.89,0.9,0.96,0.26,0.57,0.93,0.73,0.7,0.72,0.6,0.09,0.82,0.75,0.89,0.85,0.87,0.85,0.36,0.17,0.6,0,0,0,0.96,0.98,0.9,0,0.36,0.17,0.6,0,0.88,0.93,0.98,0.05,0.72,0.76,0.71,0.32
"HUMANA REGIONAL HEALTH PLAN, INC.","Humana Regional Health Plan, Inc.",Humana Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0.71,0.75,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.96,0.98,0,0,0,0,0.6,0,0,0,0.98,0.07,0.72,0.8,0.74,0.22
BLUE CROSS & BLUE SHIELD OF RHODE ISLAND,Blue Cross & Blue Shield of Rhode Island,Blue Cross & Blue Shield of Rhode Island,0.81,0.75,0.81,0.68,0.78,0.54,0.9,0,0,0,0,0.18,0.75,0.92,0.87,0.81,0.74,0.63,0.1,0.85,0.76,0.89,0.85,0.83,0.82,0.08,0.02,1,0,1,0.95,0.58,0.71,1.1,0,0.08,0.02,1,0,0.83,0.9,0.99,0.08,0.82,0.84,0.79,0.19
"COMMUNITYCARE GOVERNMENT PROGRAMS, INC.",Advantage Medicare Plan,St Francis Health System & St John Health System,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USABLE MUTUAL INSURANCE COMPANY,ARKANSAS BLUE CROSS AND BLUE SHIELD,USAble Mutual Insurance Company,0.44,0.31,0.67,0.68,0.75,0.43,0.55,0,0,0,0,0.07,0.48,0.75,0.42,0.46,0.87,0.46,0.13,0.84,0.71,0.88,0.83,0.81,0.83,0.17,0.08,0.6,0,0,0,1,0.99,37.7,0.85,0.17,0.08,0.6,0,0.8,0.91,0.99,0.09,0.79,0.79,0.75,0.42
"VISTA HEALTH PLAN, INC.","Vista Health Plan, Inc.","Independence Health Group, Inc.",-1,-1,0.7,0,0,0.49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.76,-1,0.8,0.7,0.82,0.83,0.8,0.83,0.8,0.21,0.8,0,0,0,0.95,0.99,0,0,0.8,0.21,0.8,0,0.8,0.87,0.99,0.06,0.7,0.76,0.72,0.4
"UPMC FOR YOU, INC",UPMC for You,UPMC Health System,0.66,0.64,0.71,0,0,0.43,0.97,0.47,0.93,0.74,0.92,0.25,0.8,0.96,0.82,0.74,0.74,0.71,0.09,0.88,0.76,0.91,0.86,0.9,0.86,0.05,0.05,0.6,0,0.92,0.94,0.94,0.96,9.1,0.78,0.05,0.05,0.6,0,0.86,0.93,0.98,0.12,0.8,0.78,0.77,0.01
CAREMORE HEALTH PLAN OF NEVADA,CareMore Health Plan of Nevada,Anthem Inc.,0.76,0.75,0.67,0.58,0.79,0.53,0.95,0.6,0.94,0.72,0.91,0,0.74,0.94,0.8,0.82,0.71,0.66,0.08,0.76,0.67,0.9,0.82,0.84,0.78,0.23,0.13,1,0,0.95,0.98,0.93,0.96,1.8,0,0.23,0.13,1,0,0.84,0.88,0.99,0.04,0.77,0.79,0.75,0.36
"SECURITY HEALTH PLAN OF WISCONSIN, INC.","Security Health Plan of Wisconsin, Inc.","Marshfield Clinic Health System, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEALTHSPRING OF TENNESSEE, INC.",Cigna-HealthSpring,CIGNA,0.84,0.83,0.69,0.67,0.77,0.43,0.97,0.62,0.93,0.79,0.92,0.71,0.83,0.97,0.88,0.72,0.77,0.57,0.12,0.87,0.73,0.88,0.87,0.86,0.88,0.3,0.09,0.8,0,0.91,0.73,0.94,0.98,0,0,0.3,0.09,0.8,0,0.87,0.91,0.99,0.05,0.77,0.76,0.7,0.41
"HEALTHSPRING OF TENNESSEE, INC.",Cigna-HealthSpring,CIGNA,0.81,0.77,0.78,0.65,0.79,0.48,0.97,0.64,0.96,0.88,0.94,0.65,0.76,0.95,0.78,0.76,0.77,0.61,0.1,0.88,0.75,0.85,0.86,0.86,0.89,0.18,0.12,0.8,0,0.94,0.94,0.94,0.94,0.2,0.92,0.18,0.12,0.8,0,0.86,0.93,0.98,0.04,0.77,0.8,0.75,0.46
CARITEN HEALTH PLAN INC.,Cariten Health Plan Inc.,Humana Inc.,0.76,0.77,0.8,0.69,0.79,0.47,0.97,0.54,0.9,0.87,0.94,0.31,0.7,0.92,0.78,0.79,0.76,0.58,0.09,0.88,0.79,0.88,0.88,0.87,0.87,0.16,0.05,0.6,0,0.97,0.94,0.96,0.98,0.8,0.7,0.16,0.05,0.6,0,0.88,0.92,0.98,0.06,0.79,0.81,0.77,0.32
"INDEPENDENCE CARE SYSTEM, INC.",ICS Community Care Plus FIDA MMP,Paraprofessional Healthcare Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARVESTPLAINS HEALTH OF IOWA,HarvestPlains Health,Catholic Health Initiatives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MISSOURI MEDICARE SELECT, LLC.",Missouri Medicare Select (HMO SNP),"MO Select, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEDICAL MUTUAL OF OHIO,Medical Mutual of Ohio,MEDICAL MUTUAL OF OHIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SELECTCARE OF TEXAS, INC.",Universal American Corp.,Universal American Corp.,0.73,0.7,0.71,0.69,0.79,0.5,0.99,0,0,0,0,0.28,0.71,0.95,0.81,0.74,0.73,0.59,0.08,0.82,0.72,0.85,0.87,0.86,0.85,0.14,0.06,1,0,0.92,0.95,1,0.95,1.8,0.79,0.14,0.06,1,0,0.89,0.9,0.98,0.07,0.77,0.79,0.74,0.35
"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",Cigna-HealthSpring,CIGNA,0.84,0.82,0.78,0.69,0.82,0.5,0.99,0.6,0.96,0.89,0.94,0.68,0.82,0.98,0.83,0.72,0.83,0.61,0.1,0.82,0.7,0.85,0.85,0.86,0.84,0.13,0.08,0.8,0,0.92,0.89,0.81,0.83,0,0,0.13,0.08,0.8,0,0.85,0.91,0.99,0.02,0.76,0.78,0.72,0.41
"UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, LLC",UnitedHealthcare,"UnitedHealth Group, Inc.",0.61,0.59,0.68,0.67,0.76,0.49,0.92,0.31,0.8,0.64,0.83,0.38,0.58,0.91,0.67,0.59,0.77,0.68,0.12,0,0.72,0.86,0,0.82,0.83,0.22,0.22,1,0,0.96,0.98,0.97,0.98,0.3,0,0.22,0.22,1,0,0.83,0.9,0.98,0.06,0.69,0.72,0.66,0.44
"AETNA HEALTH, INC. (TX)",Aetna Medicare,Aetna Inc.,0.68,0.67,0.64,0.69,0.78,0.55,0.97,0,0,0,0,0.42,0.68,0.93,0.83,0.8,0.79,0.53,0.08,0.79,0.71,0.85,0.83,0.79,0.82,0.29,0.38,0.2,0,0.76,0.79,0.99,0.98,0,0,0.29,0.38,0.2,0,0.79,0.86,0.99,0.11,0.73,0.76,0.7,0.39
"SHA, L.L.C",FirstCare Advantage,Covenant Health - Hendrick Medical Center,0.66,0.58,0.75,0.69,0.78,0.47,0.85,0.66,0.68,0.55,0.74,0.13,0.58,0.9,0.62,0.61,0.85,0.54,0.1,0.88,0.74,0.89,0.84,0.87,0.86,0.13,0.07,0.8,0,0,0,0.76,0.81,0,0,0.13,0.07,0.8,0,0.85,0.9,0.99,0.17,0.74,0.74,0.71,0.11
PHYSICIANS HEALTH CHOICE OF TEXAS LLC,PHYSICIANS HEALTH CHOICE,"UnitedHealth Group, Inc.",0.84,0.8,0.81,0.66,0.78,0.53,1,0.29,0.96,0.93,0.96,0.43,0.81,0.98,0.85,0.83,0.7,0.66,0.08,0.8,0.71,0.86,0.87,0.83,0.82,0.22,0.15,1,0,0.95,0.95,0.97,0.98,1.1,0,0.22,0.15,1,0,0.82,0.87,0.98,0.03,0.75,0.79,0.72,0.33
"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",Cigna-HealthSpring,CIGNA,0.71,0.61,0.66,0.6,0.8,0.52,0.95,0.41,0.81,0.65,0.79,0.44,0.6,0.92,0.71,0.58,0.64,0.7,0.11,0,0.7,0.82,0.8,0.8,0.81,0.27,0.37,0.8,0,0.92,0.83,0.81,0.83,1.4,0,0.27,0.37,0.8,0,0.83,0.89,0.99,0.03,0.72,0.74,0.67,0.3
SCOTT AND WHITE HEALTH PLAN,Scott and White Health Plan SeniorCare,Baylor Scott & White Holdings,0.79,0.71,0.8,0.66,0.77,0.51,0.98,0,0,0,0,0.24,0.75,0.9,0.78,0.72,0.93,0.61,0,0.86,0.81,0.86,0.9,0.91,0.89,0.07,0.03,0.8,0,0.94,0.9,0,0,2.1,0,0.07,0.03,0.8,0,0.87,0.91,0.99,0.16,0.83,0.84,0.81,0.08
"UNITEDHEALTHCARE BENEFITS OF TEXAS, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0.75,0.74,0.81,0.72,0.75,0.55,0.96,0.28,0.92,0.82,0.92,0.44,0.74,0.94,0.77,0.71,0.72,0.63,0.09,0.83,0.71,0.83,0.86,0.86,0.82,0.11,0.06,1,0,0.99,0.95,0.97,0.98,0.4,0.93,0.11,0.06,1,0,0.84,0.9,0.98,0.06,0.73,0.76,0.7,0.39
